SHIP'S NA,AKA,SHIP'S O,VESSEL TY,YEAR BUIL,WHERE B,DATE LOS,YEAR,MNTH,DAY,LOCATIO,Latitude,Longitude,LATITUDE,LONGITU,CAUSE OF,CONSTRU,FLAG,LENGTH,BEAM,DRAFT,GROSS TO,NET TON,HOME (H,DEPARTU,DESTINAT,MASTER,# CREW,# PASS,LIVES LOS,SHIP VAL,CARGO V,NATURE O,USLSS STA,LOST,PHOTO O,MISC INF,MUSEUM CROSS REFERENCE
A H DuMont,,Spentonb,Tanker,1940,"Camden,",########,1986,6,10,Garden St,38.6127672,-90.2593798,39-37-727,74-01-029,Opened h,Steel,US,247,38,26,,,NJ AR,GSN,8,,,,,,,,,Y,Y,Sponsor -,See scrapbooks 38 - 43 - Purple Misc
A H Edward,,,Schooner,,,1820,1820,,,Nine Mile Beach,,,,,Stranded,,,,,,,,,,,,,,,,,,,,N,Very little info,
A H Hurlburt,,,Schooner,1871,Middleto,6/26/1884,1884,6,26,Cape May LSS SW 4 mi,,,,,Stranded,Wood,US,126,30,10,263.29,250.13,New Have,"Hallowell,","Yorktown,",Crosby,7,,0,"$20,000","$40,000",Granite,Cape May,N,N,#105055; Refloated,
A J Bentley,,Bentley &,Schooner,1865,"Hartford,",5/27/1873,1873,5,27,Barnegat,39.7649223,-74.2693297,,,Collision,Wood,,,,10,290,,New Have,Georgeto,"New York,",Williams,,,,,,,,N,N,Partial loss; Towed to New Haven,
A J Hoole,,,Schooner,,,########,1902,12,19,Spermaceti Cove LSS S 1 mi,,,,,Grounded,,,,,,21,,"New York,",Jersey Cit,"Seabright,",Radgan,3,0,0,"$1,000",,None,Spermace,N,N,Partial loss; Refloated,
A L & M T,George White,,Schooner,1871,"Barnegat,",12/30/188,1888,12,30,Little Egg LSS S 2 mi,,,,,Grounded,Wood,US,61.6,21.5,5.3,42.27,40.16,Somers P,"New York,",Atlantic Ci,Booy,3,,,"$1,500",$200,Brick,Little Egg,N,N,#106349; Refloated,
A L Lee (1897),,,Schooner,1884,Mays Lan,3/25/1897,1897,3,25,Ocean City LSS E .5 mi,,,,,Stranded,Wood,US,83,27,5.6,87,83,Somers P,Somers P,Haverstra,Gaskill,5,,0,"$5,000",$0,None,Ocean Cit,N,N,#106301; Refloated,
A L Lee (1898),,,Schooner,1884,Mays Lan,8/26/1898,1898,8,26,Absecon bar,,,,,Grounded,Wood,US,83,27,5.6,87,83,Somers P,Haverstra,Atlantic Ci,Gaskill,6,,0,"$3,000",$500,Bricks,Absecon,N,N,#106301; Refloated,
A L Lee (1902),,,Schooner,1884,Mays Lan,########,1902,12,10,Absecon bar,,,,,Grounded,Wood,US,83,27,5.6,87,83,Somers P,Haverstra,Atlantic Ci,Gaskill,4,,0,"$5,000",$650,Bricks,Absecon,Y,N,#106301; Total loss,
A Lincoln,,,Schooner,1865,"Essex, MA",10/12/0189,1891,10,12,Barnegat,39.7649223,-74.2693297,,,Damaged in gale,,,65,18.8,6.7,46.76,44.42,"Provincetown, MA",,Fishing trip,,10,0,1,,,Fish,,,N,#472,
A M C Smith,,,Schooner,,,10/13/187,1876,10,13,Green Isla,-16.7597228,145.9738016,39-36-00,74-12-06,Stranded,,,,,,44.55,,New Lond,"New York,",Fishing tri,A W Roge,8,,0,"$4,000",,None,Green Isla,N,N,#1711; Refloated,
A M Lee,,G H Newh,Schooner,1864,"Tuckahoe,",10/12/0188,1885,10,12,Highlands SE .5 mi,,,,,Dismaste,Wood,US,108.9,29,9.1,267.58,254.21,Provincet,Philadelp,Bridgepor,Plummer,4,,0,,,Coal,,Y,N,#503; Sank while in tow,
A P Nowell,,Thomas,Schooner,1874,"Milton, DE",8/3/1886,1886,8,3,Cape May,,,,,Collision,Wood,US,116,30.8,9,241.11,,Philadelp,Philadelp,"Lynn, MA",James C C,5,1,0,"$10,000","$1,000",388 ton coal,,N,N,#105412; Partial loss; Towed to NY,
A Pardee,,,Schooner,,,3/16/1875,1875,3,16,Little Egg Harbor,,,,,Grounded,,,,,,300,,"New Brunwick, NJ",,,Nicholson,5,0,0,"$16,000","$2,000",Coal,Little Egg,N,N,Refloated,
A S Wasse,,,Brig,,,1838 - 187,1860,,,Squan Inlet S 1.5 mi,,,,,Stranded,,,,,,,,,,,,,,,,,,,Y,N,Total loss,
A T Coleman,,,Schooner,1865,Talbot Cit,########,1901,1,20,Atlantic City,,,,,Stranded,,,76.1,23.4,6.1,66,63,Baltimore,New Bern,Atlantic Ci,Benjamin,4,0,0,"$1,800",$800,Lumber,Atlantic Ci,Y,N,#22033; Total loss,
A T Stewart #6,,,Pilot boat,,,11/30/186,1869,11,30,New Jersey coast,,,,,"Collision w/ ""Scotia""",,,,,,,,"New York, NY",,Pilot service,,,,,,,,,Y,N,Sank,
Abbie E Campbell,,Maxon Fis,Schooner,1866,"Mystic, CT",9/14/1873,1873,9,14,Brigantine Shoal,,,,,Stranded,,,,,12,332,,"Mystic, CT",Georgeto,"New York,",Dennison,,,,"$12,000",,500 ton coal,,Y,N,Total loss,
Abbie H Gheen,,E G Taulan,Schooner,1880,,########,1900,6,27,Manasquan Inlet,,,,,Collision,Wood,,128,30.8,9,266,253,Philadelp,"Norfolk, V","New York,",John Tayl,6,,0,"$8,000",,Lumber,,,N,#105952,
Abbie M Deering,,,Schooner,1883,,4/29/1885,1885,4,29,,,,,,Stranded,,,,,,101.3,96.25,"Portland, ME",,,Greenlert,17,,0,"$7,000",$200,Ice,,,N,#106152,
Abbie Pitman,,,Schooner,1866,,10/17/187,1879,10,17,,,,,,Collision,,US,107,28,13,288,,"Marblehead, MA",,Philadelp,Robinson,,,,,,Sugar,,,N,,
Abbie S Walker,,,Schooner,1883,Jonesbor,4/21/1888,1888,4,21,Hereford Inlet North bar,,,,,Stranded,Wood,,103.7,28.7,8.5,190.74,181.21,North Hav,Vinalhave,Philadelp,Dobbins,6,0,0,"$12,000","$4,000",Granite,Hereford I,N,N,"#106218; Refloated, no damage",
Abby,,,Schooner,,,3/4/1853,1852,3,4,Cape May,,,,,Stranded; bilged in storm,,,,,,,,,,,,,,,,,In ballast,,Y,N,Total loss,
Abby K Bentley,,Bentley G,Schooner,1872,"Hartford,",3/25/1885,1885,3,25,Squan Beach,,,,,Sprung foremast,,,133,32,9,286,286,"Portland,","Boothbay,","Petersburg, VA",,,,,,,,,,N,#105189,
Abby L Dow (1887),,E Coon,Schooner,1870,"Tuckahoe,",11/17/188,1887,11,17,Hereford Inlet,,,,,Collision,Wood,,120.2,30.5,9.5,347.5,330.13,Philadelp,"Rondout,",Philadelp,M G Town,6,0,0,"$4,000",$900,500 ton cement,,N,N,#1945; Partial loss,
Abby L Dow (1893),,Philip You,Schooner,1870,"Tuckahoe,",12/8/1893,1893,12,8,Hereford Inlet bar,,,,,Stranded,Wood,,120.2,30.5,9.5,347.5,330.13,Philadelp,"Rockport,",Philadelp,Douglas,6,,0,"$2,500","$1,800",Stone,Hereford I,Y,N,#1945; Total loss,
Abby Whitman,,,Schooner,1854,"Boston, M",1/21/1855,1855,1,21,Little Egg Harbor,,,,,Grounded,Wood,US,,,,235,235,"Boston, M","Savannah,","Philadelphia, PA",,,,,,,,,,N,,
Abel C Buckley,,G P Buckl,Schooner,1869,Greenpor,10/19/187,1879,10,19,Barnegat,39.7649223,-74.2693297,,,Damaged in storm,,,105,29,10.6,288,,,,,Young,,,,,,,,N,N,Partial damage,
Aberdeen,,S H Mills,Bark,1856,"Searsport,",1/6/1885,1885,1,6,Harvey Cedars LSS,,,,,Stranded,Wood,US,112,27.1,17,322,305.72,"New York,","Mobile, A","Boston, M",Robert P,8,0,0,"$7,000","$38,000",Cotton,Harvey Ce,Y,N,#218; Total loss,
Abiel Abbot,,Abiel Abb,Bark,1874,"Boston, M",########,1903,1,20,Ship Bottom LSS S .5 mi,,,,,Stranded,Wood,US,136,32.5,17,589,560,"New York,","Salt Key, T","New York,",Isaac B Ha,9,0,5,"$8,000","$3,000",Salt,Long Beac,Y,Y,#105479; Total loss,
Abigail (1756),,,Sloop,,,5/1/1756,1756,5,1,Great Egg Harbor Shoal,,,,,Stranded,,,,,,,,,"Salem, M",Philadelp,Savage,,,,,,,,N,N,#1429; Presumed refloated,
Abigail (1831),,,Sloop,,,1/1831,1831,1,,"Leeds Point, NJ",,,,,Foundered at anchor,,,,,,,,,,,,1,,1,,,,,,N,,
Abigail Haley,,Haley & C,Schooner,1860,Mauriceto,1/18/1868,1868,1,18,Squan Inlet S 3 mi,,,,,Grounded,,,,,11,,267,,,,W Haley,,,,"$20,000",,,,N,N,"Refloated; Incorrectly called ""Abigail Henry""",
Abraham Leggett #4,,,Pilot boat,,,3/7/1870,1870,3,7,Highlands S 3 mi,,,,,Grounded,,,,,,,,,,,,,,,,,,,N,N,Refloated; Towed to NY,
Absecon,,,Steamshi,1884,Bordento,11/11/0188,1885,11,11,Absecon,39.4284503,-74.4957076,,,Stranded,,,69.4,17.6,6.7,52.79,34.29,"Somers Point, NJ",,Somers P,Cranmer,13,0,0,"$10,000",$150,,Atlantic Ci,N,N,#106299; Refloated,
Acara,,Photos only,,,,,,,,Unknown,35.2205059,-80.8575394,,,Unknown,,,,,,,,,,,,,,,,,,,,Y,No info on an event. Just photos,
Achille S / Achilles,,,Brig,1870,,2/21/1882,1862,2,21,Little Egg LSS E,,,,,Grounded,,US,,,,288,,Austria,Montevid,"New York,",Turcich,9,0,0,"$7,000","$90,000",Hides,#23,,N,,
Achorn,,,Schooner,,,3/18/1880,1880,3,18,Absecon E 9 mi,,,,,"Collision w/ ""Maria and Elizabeth""",,,,,,87.4,,"Trenton, NJ",,,,4,0,1,,,,Stone Har,Y,N,#105378; Sank,
Active (1778),,,Brig Privateer,,,1778,1778,,,,,,,,Taken by HMS Mermaid,,,,,,,,,,,Williams,20,0,,,,,,,N,Crew taken prisoners,
Active (1885),,,Sloop,1868,"Freeport,",7/11/1885,1885,7,11,Sandy Hook Point,,,,,Stranded,Wood,US,30.5,11.8,3.2,7.15,6.8,"New York,","New York,",Fishing cr,McCarthy,2,,0,$300,,,,N,N,#1636; Refloated,
Active (1938),,,Motor ves,1895,,########,1938,10,1,"Belford, NJ",,,,,Foundered,,,,,,18,,,,,,5,,0,,,,,,N,#107172,
Ada Adelia,,Adelia Inc,Fishing tr,1870,,########,1991,10,11,Atlantic Ci,39.3642834,-74.4229266,39-15-539,74-13-893,Opened s,Wood,US,65,20,10,,,NJ AR,AC,18,,,,,,,,,Y,Y,Sponsor -,See scrapbooks 38 - 43 - Purple Misc
Ada F Crosby,,John Baizl,Bark,1875,,5/1881,1881,5,,Del-Mar-,32.9594891,-117.2653146,37-30-00,72-20-00,Leaking; Abandoned,,US,,,,559.31,,Philadelp,Philadelp,"Portland,",A F Almer,10,0,1,"$2,400","$3,500",819 ton Coal,,Y,N,#105648; Total loss,
Adair F Bonney,,,Schooner,,,11/13/187,1875,11,13,Barnegat,39.7649223,-74.2693297,,,Lost at Sea,,US,,,,200.83,,,Perth Am,"Richmond, VA",,7,0,7,,,Coal,,Y,N,Total loss,
Addie,,,Schooner,1883,Wilmingt,4/3/1886,1886,4,3,Cold Spring Inlet South bar,,,,,Stranded,,,41.5,15.2,4.2,16.67,15.84,Wilmingt,Indian Riv,Cape May,Tunnel,2,,,"$1,000",$400,Corn & lu,Cold Spring,,N,#106183,
Addie B Bacon,,,Barge,1874,Philadelp,########,1908,2,10,Sandy Hook Flynns Knoll,,,,,Stranded,,,,,,422,,"Perth Amboy, NJ",,,,7,,0,,,,,,N,#105423,
Addie E Sleeper,,,Bark,,,1/4/1879,1879,1,4,Highlands,,,,,Dismasted in gale,,US,,,,591,,,Aspinwall,"New York, NY",,,,3,,,Old iron,,N,N,Partial loss,
Addie Harris,,,Schooner,,,3/20/1866,1866,3,20,Corsons Inlet,,,,,Stranded,,,,,,,,,"New York,","Philadelphia, PA",,,,,,,Gravel,,N,N,Refloated,
Addie Jordan,,,Schooner,1873,"Saco, ME",########,1907,12,14,Squan Beach N 5 mi,,,,,Stranded,Wood,US,132.3,31.6,9.5,376,357,"Norfolk, V","Norfolk, V","New York,",Cramer,2,,0,"$2,000","$14,000",Lumber,Squan Be,Y,N,#105245; Total loss,
Addie P McFadden,,,Schooner,1890,"Bath, ME",4/10/1894,1894,4,10,Ocean City LSS NW .75 mi,,,,,Stranded,,,125.2,30.1,8.1,251.8,239.21,"Bath, ME","Boothbay,",Ocean Cit,Stewart,6,,0,"$14,000",$300,Ice,Ocean City,,N,#106750,
Addie Schlaefer,,L H Hopki,Schooner,1874,Port Jeffe,3/27/1877,1877,3,27,Cold Spring Inlet South bar,,,,,Stranded,,,105.6,28.6,8.5,178,,"New York,","Norfolk, V","New York,",E A Deaco,6,,0,"$7,000","$6,000",9000 bush,Cape May,N,N,#105337; Refloated,
Addie Taylor,,,Schooner - yacht,,,10/15/188,1882,10,15,Sandy Hook Point,,,,,Stranded; swamped,,,,,,,,Jersey Cit,Jersey Cit,Pleasure c,Foulks,4,0,0,$300,,,Sandy Ho,Y,N,Total loss,
Addie Walton,,,Schooner,,,9/16/1876,1876,9,16,,,,,,"Collision w/ ""Light Brigade""",,,,,,,,Philadelp,Philadelp,"Boston, MA",,,,1,,,Coal,,Y,N,Sank,
Addie Wooster,,,Motor ves,1914,,########,1921,6,15,Atlantic City,,,,,Stranded,,,,,,10,,,,,,1,,0,,,,,Y,N,#213246; Total loss,
Adelaide (1840),,,Schooner,,,2/23/1840,1840,2,23,Sickles Creek,,,,,Stranded/Broke up,,,,,,,,,Dominica,Nova Scotia,,,,,,,,,,N,,
Adelaide (1841),,,Schooner,,,11/14/184,1841,11,14,Brigantine Beach,,,,,Leaking,,,,,,,,Tuckerton,Tuckerton,"Sing Sing, NY",,,,,,,Coal,,Y,N,Sank,
Adelaide (1846),,,Sloop,,,9/9/1846,1846,9,9,Barnegat Inlet,,,,,Struck Bar,Wood,,,,,,,Manahaw,Manahaw,Barnegat,James La,4,1,4,,,,,Y,N,Capt's daughter only survivor,
Adelaide (1870),,,Schooner,1853,Cape May,1/4/1870,1870,1,4,Barnegat,39.7649223,-74.2693297,,,"Collision w/ ""Shakespeare""",,,,,9,143,,"Somerset,","Somerset,","Baltimore, MD",,,,,,,In ballast,,,N,Abandoned,
Adele,,,Dragger,,,1958,1958,,,Manasquan Inlet ESE 6.5 mi,,,,,Foundered,,,,,,65,,,,,,,,,,,,,Y,N,Sunk,
Adele Lindell,,,Schooner,,,4/30/1885,1885,4,30,Tuckerton Shoal,,,,,Stranded,,,,,,,,,,,Fidler,,,,,,,,N,N,Refloated,
Adele Trudell,,Frank Smi,Schooner,1870,,11/24/189,1891,11,24,Sandy Hook Romer Shoal,,,,,Stranded i,Wood,,,,,157,,"Camden,",Cape May,"New York,",Roopey,8,,0,"$2,000",$310,Sand,Sandy Ho,Y,N,#944; Total loss,
Adelia B,,,Schooner,,,4/15/1874,1874,4,15,Great Egg Harbor bar,,,,,Stranded,,,,,,50.72,,Great Egg,"New York,","Somers Point, NJ",,,,,,,,,Y,N,#507; Total loss,
Adelia Bu,Adelia B,,Schooner,,,4/15/1874,1874,4,15,Great Egg Harbor bar,,,,,Stranded,,,,,,50.72,,Great Egg,"New York,","Somers Point, NJ",,4,,,,,Oysters,,Y,N,#507; Total loss,
Adelia Hodgkins,,,Schooner,,,3/6/1877,1877,3,6,Egg Harbor,,,,,,,,,,,,,,,,,,,,,,,,,N,,
Adeline Baxter,,Jacob Bax,Schooner,,,11/2/1877,1877,11,2,Corsons Inlet S .5 mi,,,,,Stranded in storm,,,,,,,55,,Verplank,"Millville,",Rodgers,4,,0,,,85 tons of limestone,,,N,#105954,
Adeliza,,,Schooner,,,1/13/1877,1877,1,13,Sandy Hook,,,,,Crushed in ice,,US,,,,,,"New York,","New York,",St Doming,Libby,,,,,,,,N,N,Towed back to Brooklyn,
Admiral Dewey,,,Barge,1898,,########,1918,1,24,New Jersey coast,,,,,Burned,,,,,,303,303,,,,,2,,0,,,,,,N,#166925,
Admiral Dupont,,,Sidewhee,1847,England,6/8/1865,1865,6,8,Cape May,,,,,Collision,Iron,,,,,750,,"New York,","New York,",Hampton,Pepper,30,20,20,,,,,,Y,,
Admiral Rodney,,,Brig,,,7/8/1780,1780,7,8,Sandy Hook,,,,,Battle w/ US private,,England,,,,,,,,,Daniel Mo,6,,6,,,,,N,N,Lost boom,
Admirente,,Photos only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
Adolphus,,Abel C Ro,Ship,1873,Green Co,1/4/1886,1886,1,4,Delaware,38.9108325,-75.5276699,38-52-00,75-07-50,Stranded i,Wood,England,180,35.5,21.9,1319,,Yarmouth,"London, E",Philadelp,Sanders,21,,0,"$15,000","$5,000","Barrels, c",Lewes; Ca,Y,N,#66708; Total loss,
Adonis,,,Bark,1853,,3/3/1859,1859,3,3,Long Branch South end,,,,,Stranded i,Wood,Netherlands,,,,550,,"Breman,",Newcastl,"New York, NY",,12,,0,,,Grindstones; lead in,,Y,Y,"Total loss; Same site as ""Russland""",
Adrian,,,Schooner,,,5/12/1855,1855,5,12,Delaware Bay,,,,,"Collision w/ ""Keystone State""",,,,,,,,,Philadelp,"Fall River, MA",,5,0,2,,,Coal,,Y,N,Sank in 15 minutes,
Adrian Maria,,,Trawler,,,6/8/1985,1985,6,8,Hereford Shoal,,,,,Stranded,,,37,,,,,"Wildwood, NJ",,,,,,,,,,,,N,Total loss,
Adriana,,,Merchantman,,,12/1801,1801,12,,Delaware bay,,,,,Crushed in ice,,US,,,,,,,,,,,,,,,,,Y,N,Sank,
Adriatic,,,Fishing trawler,,,########,1999,1,18,Beach Haven SE 5 mi,,,,,Unknown,Steel,US,74,,,,,,Pt Pleasa,Clamming,George Ev,4,,4,,,Clams,USCG Atla,Y,Y,Dredge h,Scrapbook #15
Adriatic (1864),,E E Morga,Sailing shi,1861,East Bosto,8/12/1864,1864,8,12,Montuk SW 20 mi,,,,,Burned by,Wood,US,181,34,23,989,,"New York,","London, E","New York,",R H Moore,,163,0,,,,,Y,N,"One of 30 ships captured by ""Tallahassee""",
Adrienne,,,Sloop,,,10/23/187,1878,10,23,Short Beach,,,,,Stranded in storm,,,,,,,,,"Toms River, NJ",,,3,,0,,,,Little Egg,N,N,Refloated,
Adry,,,Motor ves,1916,,########,1927,3,21,Perth Amboy,,,,,Burned,,,,,,13,,,,,,1,,0,,,,,,N,#214623,
Advent,,,Schooner,,,5/9/1851,1851,5,9,Delaware Capes,,,,,Grounded,,,,,,,,"Augusta,","Boston, M","Savannah,",Rowe,,,,,,Ice,,Y,N,Total loss,
Adventure (1760),,,Merchantman,,,1760,1760,,,Sandy Hook,,,,,Stranded,,Scotland,,,,,,,,,"Dublin, Ireland",,,,,,,,,N,,
Adventure (1762),,,Schooner,,,10/8/1762,1762,10,8,Barnegat,39.7649223,-74.2693297,,,Stranded,Wood,US,,,,,,New Lond,St Martins,New Lond,Ashcroft,,,0,,,Salt,,,N,,
Adventurer,,Adventur,Charter fi,1959,Dorcheste,########,1983,4,16,Cape May,38.9351125,-74.9060053,38-45-7 N,74-43-19,Foundere,Wood,US,55.9,14.4,3.7,23,15,Wildwoo,Wildwoo,Day trip,Lawrence,2,16,0,,,,"USCG ""Ca",Y,N,#282412; Total loss,
Aeolus,,Neptune,Tanker,1965,Sunderlan,########,1974,8,24,Ambrose Light E 2 mi,,,,,Grounded,Steel,Liberia,800,,,35324,,"Moravia, L","St Croix, U","New York,",Stamatioa Stogiannos,,,,,,66075 ton crude oil,,N,Y,Refloated,
African Monarch,,Monarch,Steamshi,1898,Newcastl,########,1910,8,12,Brigantine LSS SE 3 mi,,,,,Stranded,Steel,England,376.7,48,26.3,4296,,"Glasgow,",Philadelp,"New York,",Thomas T,35,,0,"$40,000",,None,South Brig,N,N,#108781; Refloated w/o assistance,
Agnes (1808),,,Ship,,,11/1808,1808,11,,Cape May,,,,,Foundered,,,,,,,,,"Charleston, SC",,,,,,,,,,Y,N,Driven to sea,
Agnes (1877),,,Steamship,,,3/1/1877,1877,3,1,Cold Spring Bar,,,,,Stranded,,,,,,583,,"New York,",Philadelp,"New York,",Burdick,18,,0,"$20,000","$30,000","Whiskey,",3 Mile Be,N,N,Refloated,
Agnes (1885),,,Schooner,,,3/27/1885,1885,3,27,Sandy Hook Romer Shoal,,,,,Stranded,,,,,,,,South Am,Barren Isl,South Am,Lowery,,,,,,,,N,N,Towed to Red Hook,
Aid (1864),,,Bark,,,8/3/1864,1864,8,3,Barnegat South Shoal,,,,,Stranded,,US,,,,,,,Bermuda,"New York,",Goodwin,12,0,0,,,Sugar,,Y,N,Broke up,
Aid (1876),,,Schooner,,,9/17/1876,1876,9,17,Maurice River Flats,,,,,Stranded,,,,,,,,,Philadelp,"Fall River, MA",,,,1,,,Coal,,,N,Captain's wife lost,
Ajax,,Thomas M,Tug steam,,,2/4/1858,1858,2,4,Long Branch,,,,,Stranded;,Wood,US,,,,,,"New York,",Barnegat I,"New York,",Thomas Marshall,,,0,"$16,000",,,,Y,N,Sent to tow Mary Dyer to NY,
Akron (1912),,Melvin Va,Blimp,,,7/2/1912,1912,7,2,Atlantic City E .5 mi,,,,,Explosion; Burned,,,258,,,5.5,,"Atlantic City, NJ",,,Melvin Va,5,,5,"$50,000",,,South Brig,Y,Y,Attempted to cross Atlantic,
Akron (1933),,U S Navy,Blimp,1931,"Akron, OH",4/3/1933,1933,4,3,Little Egg Harbor E 30 mi,,,,,Crashed i,Steel,US,785,144.4,,200,,Lakehurst,Lakehurst,Demo crui,Frank McC,76,,73,,,,,,Y,,
Alabama,,,Schooner,,,2/15/1846,1846,2,15,Squan Inl,33.4474607,-112.0736676,40-05-20,74-02-00,Stranded in gale,,,,,,,,,Philadelp,"New York,",Nicholson,7,0,7,,,"Hides, spices, iron",,Y,N,"Crew, ship, cargo lost",
Alamo,,Eldon S P,Yacht mot,1949,"Millville,",8/7/1970,1970,8,7,Cape May E 30 mi,,,,,Capsized,Wood,US,35.1,11.4,4.7,13,11,"Philadelphia, PA",,,C W Baile,4,0,2,,,,,Y,N,#264192; Sank while in tow by USCG,
Alan Mart,YO-31,Crystal Oil,Tanker,1918,"New York,",########,1987,9,10,Shark Riv,40.2016834,-74.0751971,40-06-44,73-41-13,Explosive,Steel,US,160,25,28,,,NJ AR,SR,2,,,,,,,,,Y,Y,Sponsor -,See scrapbooks 38 - 43 - Purple Misc
Alan T Niven,,,Motor ves,1922,,7/7/1928,1928,7,7,"Warners, NJ",,,,,Burned,,,,,,45,,,,,,3,,1,,,,,,N,#222518,
Alaric,,,Sloop,,,1/25/1855,1855,1,25,,,,,,Stranded; Leaking,,,,,,,,,Wilmingt,"New York, NY",,,,,,,,,,N,,
Alarm USS,,,Torpedo B,1873,"New York,",11/28/187,1877,11,28,Barnegat,39.7649223,-74.2693297,,,Collision,iron,,173,28,11.1,800,,,,,,,,,,,,,,N,,
Albano,,,Brig,,,7/17/1852,1852,7,17,Egg Harbor SE 25 mi,,,,,Capsized in squall,,,,,,,,Waldobor,New Have,"Philadelphia, PA",,,,,,,,,,N,,
Albany,,,Sloop,,,2/23/1744,1744,2,23,,,,,,Foundered,,,,,,,,,,,William Bradford,,,0,,,,,,N,,
Albatross,,Olav J Ber,Motor ves,1925,"Ranen, N",9/2/1932,1932,9,2,Ambrose Light,,,,,Burned,Wood,,45.3,16.2,8.1,20,13,,,,,5,,0,,,,,Y,N,#227962; Total loss,
Albemarle (1856),,,Schooner,,,12/15/185,1856,12,15,Sandy Hook Inside,,,,,Stranded,,,,,,,,"Pantego,",Providenc,"New York, NY",,,,0,,,,,,N,,
Albemarle (1866),,,Schooner,,,3/24/1866,1866,3,24,Seven Mil,33.2191474,-97.1352828,39 04 00 N,74 44 00 W,,,,,,,,,"Boston, M","Boston, MA",,,5,,,,,In Ballast,,,N,,
Albert (1837),,,Schooner,,,5/12/1837,1837,5,12,Cape May E 30 mi,,,,,"Collision w/ ""Talley Ho""",,,,,,,,Barnstabl,"Boston, M","Fredericksburg, VA",,,,0,,,Molasses,,,N,,
