id,resourceType,title,description,startDate,endDate,lat,lon,lat/lon,author,Evacuated,Homeless,Injuries,Deaths,Insured Cost,Train(s) damaged,Train(s) destroyed,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Ind Premises destroyed,Com Premises damaged,Com Premises destroyed,Bridge(s) damaged,Bridge(s) destroyed,Aircraft damaged,Aircraft destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Water vessel(s) damaged,Water vessel(s) destroyed,Business(es) damaged,Business(es) destroyed,Farm(s) damaged,Farm(s) destroyed,Crop(s) destroyed,Livestock destroyed,Government assistance,regions,subjects,url,resourceUrl
109,Disaster Event,Shipwreck - Peter Silvester,"The Peter Silvester was a steel single screw American Liberty Ship en route from San Francisco to Columbo via Melbourne, when it was torpedoed by German submarine U-862 on 6 February 1945.  It was torpedoed at approximately 2.40 pm by two torpedoes, one of which detonated in the hold, rupturing the deck and causing the flooding of the hold and the engine room. At approximately 5.10 pm it was hit again and those on board abandoned ship. The vessel was then hit by a coup de&nbsp;grace at the number one hold, causing it to break in two. The forward section sank immediately, approximately 700 nautical miles south-west of Fremantle.  t the time there was a complement of 42 crew, 26 Naval Armed Guard, and 106 American servicemen passengers on board. There were also 2700 tons of US Army supplies and 317 army mules intended for pack animals in Burma.  Thirty-two people were killed, including a crewman, armed guards and troops. However, more than 140 survivors were rescued by vessels including Cape Edmont, USS Corpus Chrisit, HMS Activity and USS Rock. The Peter Silvester was the last allied ship to be sunk in the Indian Ocean as a result of enemy action.",1945-06-02,1945-06-02,-35.02999496,101.3818359,"-35.02999496,101.3818359",,,,,32,,,,,,,,,,,,,,,,,,1,,,,,,,,Western Australia,,http://www.emknowledge.gov.au/resource/?id=109,
3099,Disaster Event,"Transport - Aircraft Crash, Seven Mile Beach, Hobart","On 10 March 1946, an Australian National Airways DC-3 airliner crashed into the sea off Seven Mile Beach, Tasmania&nbsp;shortly after taking off from Cambridge aerodrome en route to Essendon. All 21 passengers and four crew were killed. The Coroner, Mr G Sorrell found that approximately two minutes after take-off from Cambridge at a height of approximately 400 ft, the aircraft was seen to turn slightly and crash downwards into the waters of Frederick Henry Bay near Seven Mile Beach. The force of the impact shattered the plane, and all occupants received severe injuries leading to their deaths.",1946-10-03,1946-10-03,-42.85356903,147.5062256,"-42.85356903,147.5062256",,,,,25,,,,,,,,,,,,,,1,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=3099,
240,Disaster Event,Hail - Sydney Jan 1947,"On 1 January 1947 at 2.30 pm, a severe hailstorm spread over Sydney, with hail stones reportedly falling in some instances up to 1.8 kg. The hail caused widespread damage to the area.  The storm started in the St. George and Canterbury-Bankstown districts, tracking across Sydney from the south-western suburbs to the eastern suburbs. Many city buildings, such as the Art Gallery and Central Station, sustained extensive damage and more than 300 people were hospitalised.  Suburbs affected include Bankstown, Belmore, Enfield, Rockdale, Bexley North, Punchbowl Hurstville, Marrickville, Stanmore, Enmore, Newtown. Redfern, Mascot, Botany, Waterloo, Paddington, Bondi, Edgecliff, Double Bay, Rose Bay, Vaucluse, Darling Point, Cremorne, Beecroft and the central and southern part of the city.",1947-01-01,1947-01-01,-33.81110382,151.2130737,"-33.81110382,151.2130737",,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=240,
551,Disaster Event,Transport - Camp Mountain (Dayboro) Train Derailment,"On 5 May 1947, a chartered train departed for a picnic at Closeburn on the Dayboro branch with approximately 230 passengers were on board.  On the descent towards Samford Station, the engine tender derailed on a sharp bend causing the total derailment of the engine, water gin and first two carriages. The force of the derailment destroyed the first carriage and compressed the combined length of the engine to the third carriage to just over half its original length. Sixteen people were killed and 38 injured.  A Court of Inquiry that found excessive speed had led to the crash.",1947-05-05,1947-05-05,-27.37134743,152.8867645,"-27.37134743,152.8867645",,,,38,16,,,1,,,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=551,
298,Disaster Event,Transport - Balgowlah Bus Crash,On March 10 1944 a double-decker bus crash occurred in Balgowlah injuring 70 passengers.,1947-10-03,1947-10-03,-33.79503632,151.2691803,"-33.79503632,151.2691803",,,,70,,,,,,,,,,,,,,,,1,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=298,
601,Disaster Event,Shipwreck - La Grange and Unidentified,"A cyclone in Darwin from 29 November - 3 December caused the lugger La Grange to wreck, killing all ten crew on board.  An unidentified barge was also lost in December as a result of the cyclone, causing the deaths of two crewmen.",1948-01-12,1948-01-12,-12.46406746,130.8306885,"-12.46406746,130.8306885",,,,,12,,,,,,,,,,,,,,,,,,2,,,,,,,,Northern Territory,,http://www.emknowledge.gov.au/resource/?id=601,
406,Disaster Event,Transport - Perth Aircraft Crash,"On 2 July 1949, 18 people were killed when a DC3 aircraft crashed and burst into flames 15 seconds after it had taken off from Perth&rsquo;s Guildford Airport, en route for Darwin. The plane took off in driving rain early in the morning. It is believed one engine cut out and the plane hit the ground with terrific force approximately one mile north of the runway. There was an explosion as hundreds of gallons of high octane petrol burst into flames. ",1949-02-07,1949-02-07,-31.93187714,115.9596176,"-31.93187714,115.9596176",,,,,18,,,,,,,,,,,,,,1,,,,,,,,,,,,Western Australia,,http://www.emknowledge.gov.au/resource/?id=406,
343,Disaster Event,Cyclone - Rockhampton,"On 2 March 1949, a tropical cyclone made landfall over Gladstone and Rockhampton which resulted in widespread damage to 15 towns in the region. As a consequence there was severe flooding in central Queensland which left 300 people homeless and 1500 homes affected. The event resulted in four deaths.  Damage at the time of the event was estimated to have cost between &pound;300,000 and &pound;400,000.",1949-02-03,1949-03-03,-23.66465187,150.8230591,"-23.66465187,150.8230591",,,300,,4,,,,,1500,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=343,
533,Disaster Event,Transport - Coolangatta Aircraft Crash,"Fourteen men, five women and two children were killed when a Lockheed Lodestar plane crashed into a swamp on 10 March 1949. The aircraft had just taken off from Bilinga airstrip, a mile from Coolangatta. The cause of the crash was established as loss of fore and aft control due to improper loading, resulting in the centre of gravity being considerably aft of the permissible limit.",1949-10-03,1949-10-03,-28.16490364,153.5157928,"-28.16490364,153.5157928",,,,,21,,,,,,,,,,,,,,1,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=533,
103,Disaster Event,Bushfire - Central and Southern Victoria,"From January to March 1952, bushfires ravaged many parts of Victoria and claimed ten lives. Approximately 1,500,000 hectares were burnt resulting in seven million pounds in damage.",1952-01-01,1952-01-03,-36.68604279,147.1508789,"-36.68604279,147.1508789",,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=103,
108,Disaster Event,Transport - Boronia Bus and Train Collision,"At approximately 8.45 pm on 1 June 1952, an electric train collided into a bus carrying more than 30 passengers at a level crossing in Boronia. Nine people were killed.",1952-01-06,1952-01-06,-37.86028671,145.2844086,"-37.86028671,145.2844086",,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=108,
279,Disaster Event,Transport - Berala Rail Collision,"On 7 May 1952, a crowded eight-car electric train travelling from Liverpool to Sydney was standing at the suburban station of Berala, when a second electric train travelling from Bankstown ran into the rear of the first train. As a result of this collision, there were ten deaths and another 140 people sustained injuries.",1952-07-05,1952-07-05,-33.87202072,151.0318909,"-33.87202072,151.0318909",,,,140,10,,2,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=279,
289,Disaster Event,Urban Fire - Somers Hospital Fire,"On 9 September 1952 at approximately 3.00 am, a fire began at a&nbsp;hospital in Somers. It continued for two hours, aggravated by strong winds, and destroyed two of the wooden hospital huts. Five children died, whilst another 25 children and one adult were rescued by firefighters.",1952-09-09,1952-09-09,-38.92362595,146.2733459,"-38.92362595,146.2733459",,,,26,5,,,,,,,1,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=289,
233,Disaster Event,Earthquake - Adelaide,"On 1 March 1954 for 20 to 30 seconds, a 5.5 Richter Scale earthquake caused damage to 3000 buildings including collapsed and cracked walls, smashed windows and collapsed chimneys mainly in the southern suburbs of Adelaide. Some houses were reduced to rubble. The earthquake, which started at approximately 3.45 am, caused some metropolitan areas to lose power for two hours. Several big city buildings were cracked and damaged. It also resulted in three people being seriously injured. At the time, damage from the earthquake was estimated at approximately &pound;3 million.",1954-01-03,1954-01-03,-34.97600174,138.6254883,"-34.97600174,138.6254883",,,,3,,,,,,,3000,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=233,
197,Disaster Event,Environmental - Northern Australia,"A severe dry commenced in February 1951. Low rainfall, grass fires and bushfires over an area of about 6 million ha and cold winters caused one of the worst droughts in Queensland. Losses occurred in the cropping, farming and dairy industries. Crop and dairy production were the lowest since 1926. The dry conditions continued until April 1952. A further period of dry weather followed in 1953. By early 1954 the drought covered the Gulf of Carpentaria to the Darling Downs and west to the border with South Australia.",1951-01-01,1954-01-04,-25.16517258,143.6572266,"-25.16517258,143.6572266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,,Western Australia,,http://www.emknowledge.gov.au/resource/?id=197,
235,Disaster Event,Bushfire - Black Sunday Mt Lofty Ranges,"The fire known as Black Sunday occurred on 2 January 1955. The Mount Lofty Ranges east of Adelaide was devastated by fires. Adelaide reached a maximum temperature of 43 &deg;C at 1.00 pm. Wind gusts of 100 km per hour were recorded with higher velocities in the hills. The fire was particularly intense near Upper Sturt where the railway station and several houses were destroyed as well as Crafers, Aldgate, Loftia Park resort; and Marble Hill where the governors' summer residence was burnt down. Two firefighters were killed and 40,000 ha burnt out. The damage bill was estimated at &pound;4 million.",1955-02-01,1955-02-01,-35.00764465,138.7087402,"-35.00764465,138.7087402",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=235,
352,Disaster Event,Cyclone - Mackay 1955,"On 7 March 1955, between Mackay and Cape Capricorn, a lugger (boat) sank when it was caught in a cyclone with winds that reached 145 km per hour. The crew of eight drowned.  Several buildings were unroofed at Yeppoon and major floods occurred at Flinders Burdekin and Fitzroy Rivers.",1955-07-03,1955-07-03,-21.13790703,149.1849823,"-21.13790703,149.1849823",,,,,8,,,,,,,,,,,,,,,,,,1,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=352,
539,Disaster Event,Transport - Wallumbilla Rail Collision,"At approximately 6.14 am on 1 December 1956, the Westlander crashed into the Western Mail at Wallumbilla, near Roma, south-west Queensland (467 km west of Brisbane). The two trains were intended to cross at the station. However, the 345 tonne Westlander passed through a danger signal without slowing and hit the stationary 200 tonne mail train head on, pushing it back 46 m, and derailing both engines and many carriages. Five passengers on the mail train were killed, and ten sustained injury. The Westlander had steel carriages that aided its 500 passengers from any serious injury.",1956-01-12,1956-01-12,-26.58657074,149.1904449,"-26.58657074,149.1904449",,,,10,5,,1,1,,,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=539,
609,Disaster Event,Flood - Murray River,"The 1956 River Murray flood was the largest flood ever recorded in South Australia at that time. Previous floods of 1917, 1931 and the floods of the nineteenth century were large, but nothing of this magnitude.  In 1956 heavy rains in Queensland, New South Wales and Victoria eventually caused exceptional flooding along the length of the Murray River in South Australia. Riverside towns and farms were inundated and in some places floodwaters were many km wide. Approximately&nbsp;800 homes and holiday houses were flooded and orchards and crops were destroyed, in some cases taking the agricultural industry years to recover. While the flood peak was reached in late August, some places remained under water for six months.  (While this event does not strictly meet database criteria, given the floods significance it is important that is documented). ",1956-08-06,1956-01-12,-34.91437912,139.3115845,"-34.91437912,139.3115845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=609,
257,Disaster Event,Cyclone Agnes,"On the 6 March 1956, Cyclone Agnes, the first Australian tropical cyclone tracked on radar, passed over Townsville, Ingham, Cairns, McKay and then into the interior. Many homes sustained roof damage and approximately 20 homes were left uninhabitable. As a result of Cyclone Agnes, four deaths occurred from inland flooding.  The 1956 estimated damage cost was &pound;2.5m in Cairns and an estimated damage cost of &pound;1million in Townsville.",1956-06-03,1956-07-03,-19.25200272,146.8206024,"-19.25200272,146.8206024",,,,,4,,,,,20,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=257,
405,Disaster Event,Bushfire - Blue Mountains and Sydney Region,"During the period 30 November until 2 December, fires caused widespread damage in the Blue Mountains vicinity. The worst affected areas were Leura and Wentworth Falls, with other damage recorded at Megalong Valley, Lithgow and Jenolan Caves.  As a result of the fires, 158 buildings were destroyed and four people died. The damage was estimated at approximately &pound;1,000,000.",1957-11-30,1957-04-12,-33.71252823,150.3315277,"-33.71252823,150.3315277",,,,,4,,,,,158,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=405,
7,Disaster Event,Bushfire - Wandilo,"On 5 April 1958 a pine plantation fire occurred in Wandilo, near Mount Gambier, where eight firefighters lost their lives. The fire started at 10.45 am and strong north, north-easterly winds forced the fire into nearby forests. Forestry and Emergency Fire Service units were dispatched and entered a clearing in the plantation. A fire storm developed and fire fighting crews were caught unprepared. Two forestry units were bogged in soft sand when trying to evacuate and another damaged a gearbox and could not move. Three people managed to survive in and out of the trucks but eight others died.  The fire was brought under control early the next day.",1958-05-04,1958-06-04,-37.73846054,140.7737122,"-37.73846054,140.7737122",,,,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=7,
250,Disaster Event,Epidemic - Poliomyelitis,"Between the 1930's and 1960's there were approximately 40,000 cases of paralytic poliomyelitis recorded in Australia. Actual numbers of the polio infection could be up to 100 times greater. Only approximately one in 100 cases of poliomyelitis causes complete paralysis thereby requiring hospitalisation and mandatory reporting. However, a large percentage of the 'non-paralytic' and non-reported polio infections would still have caused considerable damage to the motor neurons.",1930-01-01,1959-01-01,-27.47023964,153.0234222,"-27.47023964,153.0234222",,,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Northern Territory;Tasmania;Victoria,,http://www.emknowledge.gov.au/resource/?id=250,
610,Disaster Event,Environmental - Heatwave Oodnadatta,"A heatwave occurred in South Australia in January 1960 which saw temperatures exceeding 45 &deg;C in the north of the State from 31 December to 3 January. On 2 January, Oodnadatta reached a state record - and arguably an Australian record of 50.7 &deg;C. The minimum that day was 34.6 &deg;C. The temperature again reached the low 40s on 6-8 and 10 January. There were several deaths in the 1960 heat wave: five infants and eight adults died. Other people were admitted to hospital with heat exhaustion, including 18 in Broken Hill.",1959-12-31,1960-03-01,-27.51801491,135.43396,"-27.51801491,135.43396",,,,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=610,
537,Disaster Event,Transport - Mackay Aircraft Crash,"Shortly after 10 pm on 10 June 1960, Trans Australia Airline flight 538 crashed into the sea killing 29 people on board. There was heavy fog and the plane's first attempt at landing had been aborted. A Government inquiry failed to establish an exact explanation for the crash, resulting in compulsory regulations for all commercial airliners to have flight recorders on board to prevent similar incidents.  &nbsp;",1960-10-06,1960-10-06,-21.18129158,149.1945038,"-21.18129158,149.1945038",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=537,
135,Disaster Event,Industrial - Melbourne Crane Collapse,"In October 1961, three people died and several were injured when a 30 m crane collapsed at a building under construction on the corner of Elizabeth and Collins Street.",1961-01-10,1961-01-10,-37.81599045,144.9641266,"-37.81599045,144.9641266",,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=135,
274,Disaster Event,Urban Fire - Shepparton Factory Fire,A fire at the factory in Shepparton resulted in the deaths of three people.,1963-01-01,1963-01-01,-36.34859085,145.4618225,"-36.34859085,145.4618225",,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=274,
454,Disaster Event,Shipwreck - Naval Collision off Jervis Bay,"On 10 February 1964, HMAS Melbourne sliced the destroyer HMAS Voyager in two, 19 miles south-west of Jervis Bay in New South Wales. The ships were involved in night time operations and were travelling with minimal lighting. The 20,000 ton Melbourne was travelling at 22 knots and ran straight through the destroyer in a matter of seconds causing it to quickly sink. In total 82 people were killed.Rescue operations were commenced by the Melbourne and 232 people were saved.",1964-10-02,1964-10-02,-35.40248489,150.7159424,"-35.40248489,150.7159424",,,,232,82,,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=454,
46,Disaster Event,Cyclone Glenda,"Tropical Cyclone Glenda moved south 500 km east of Brisbane, resulting in large waves that eroded Gold Coast beaches. Waves up to 16 m off the South Queensland coast were reported. Six people died in two separate boating incidents.",1967-02-04,1967-04-04,-27.7224369,157.7197266,"-27.7224369,157.7197266",,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=46,
154,Disaster Event,Bushfire - Black Tuesday Tasmania,"On 7 February 1967 over 100 fires were burning across southern Tasmania, which was to be known as 'Black Tuesday'.  Combination of abundant forest litter created by the prolific growth in the Spring of 1966, strong northerly winds of up to 110 km per hour and extremely hot air created ideal conditions for bushfires. The bushfires swept across the south-east coast of Tasmania and burnt through 264,270 hectares in the state's south in the space of five hours coming within 2 km of central Hobart. Sixty two people lost their lives, and 1400 homes or buildings were destroyed. The fires killed thousands of chickens and sheep among other livestock.  A Royal Commission after the fires found there were 110 fires burning within a 56 km radius of Hobart.  The Insurance Council of Australia estimated the 1967 damage at $14 million, with the 2011 estimated normalised cost of $610 million.",1967-07-02,1967-07-02,-43.16512299,146.2417603,"-43.16512299,146.2417603",,,,,62,14000000,,,,1400,,,,,,,,,,,,,,,,,,,20000,,Tasmania,,http://www.emknowledge.gov.au/resource/?id=154,
321,Disaster Event,Environmental - National Drought,"At 3897 days it was the longest drought in arid central Australia.  Australia-wide, there was a 40 percent drop in the wheat harvest, a loss of 20 million sheep, and a decrease of farm income of up to $500 million.",1958-01-01,1968-01-09,-23.70033646,133.880722,"-23.70033646,133.880722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Territory;Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Tasmania;Victoria,,http://www.emknowledge.gov.au/resource/?id=321,
151,Disaster Event,Bushfire - Blue Mountains and Illawarra,"During the period 15 October until 3 December, a bushfire damaged the Blue Mountain region. Winds recorded up to 100 km per hour, intensified the fire front. Due to an unusually dry spring, conditions allowed the fire to burn for approximately four weeks. Widespread damage was caused to infrastructure, houses and buildings. A total of 1,500,000 ha were burnt and 14 people died.  Other areas affected included; Valley Heights, Warrimoo, Blaxland and Emu Plains. The damage bill was estimated at approximately &pound;1,500,000.",1968-10-15,1968-03-12,-33.59318924,150.5356445,"-33.59318924,150.5356445",,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=151,
162,Disaster Event,Transport - Southern Aurora,"In the late sixties the Southern Aurora was a premier express train travelling between Sydney and Melbourne. On the morning of 7 February 1969, it was Melbourne bound travelling at 120 km per hour with 190 passengers on board.  The Express crashed head on with an Albury bound goods train. The collision crushed the first two carriages of the Express, which held sleeping accommodation, and the third and fourth carriage were tossed from the track and landed on top of the locomotive. As the passengers from the Express were trying to leave the train an explosion occurred igniting fires in seven of the trains' carriages. Nine people died and 40 people were injured. Many passengers were located in the largely undamaged dining car for breakfast at the time of the collision and had only recently vacated the badly damaged sleeping cars, otherwise there would have been a much greater number of deaths and injuries. The Coroner found the driver of the Express died from a heart attack (he had a pre existing heart condition) just prior to the collision.",1969-07-02,1969-07-02,-36.64189529,145.7070618,"-36.64189529,145.7070618",,,,40,9,,,8,,,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=162,
